time,acc_x_1,acc_y_1,acc_z_1_1,acc_x_2,acc_y_2,acc_z_1_2,gyro_1_1,gyro_2_1,gyro_3_1,gyro_1_2,gyro_2_2,gyro_3_2,altitude,temperature
0.0699997,8.58321,1.637634,5.018246,8.657434,1.6807296,0,0.0742098,0.0742098,-0.397562,0.0687473,0.0687473,-0.381441,10.090844,31.988864
0.3829985,8.58082,1.92015,7.354986,8.590394,1.8459292,0,0.0021317,0.0021317,-0.3706494,0.00106585,0.00106585,-0.3685176,10.11991,32.01856
0.6969986,8.887276,1.96564,5.001486,8.67898,2.1643584,0,0.004130168,0.004130168,-0.4082204,0.0023981624,0.0023981624,-0.4007596,10.019504,32.04082
1.014,8.26239,0.1316811,4.903324,8.161834,0.0,0,0.0635513,0.0635513,0.00013323122,0.005462482,0.005462482,0.0002664625,10.019504,32.04082
1.3249976,8.743624,3.227384,5.329494,8.133104,0.004788404,0,0.2182327,0.2182327,-0.4764349,0.00959265,0.00959265,0.0002664625,10.233524,32.04824
1.6399996,8.619126,2.681506,0.3064578,8.619126,3.064578,0,0.01825267,0.01825267,-0.4612465,0.1641409,0.1641409,-0.4753692,10.44491,32.04082
1.9549996,6.742072,0.6129156,0.3184288,7.43639,0.10534488,0,0.003597244,0.003597244,-0.5030812,0.1369617,0.1369617,-0.5233324,10.233524,32.05078
2.421997,6.380548,2.607286,0.19153616,6.129156,2.724601,0,0.00972588,0.00972588,0.02571363,0.05102756,0.05102756,0.0690138,10.31544,32.01856
2.742999,8.00621,3.064578,0.6703764,7.354986,2.777274,0,0.8270996,0.8270996,0.1409587,0.9741868,0.9741868,0.07061256,10.44491,32.04082
3.062,6.761226,0.6129156,0.5554548,6.380548,0.7661446,0,0.3080306,0.3080306,0.5823536,0.2803184,0.2803184,0.5469142,10.571736,32.04336
3.380999,5.257666,1.237802,5.604826,5.212178,1.647211,0,0.20464316,0.20464316,-0.4751026,0.20490964,0.20490964,-0.4003599,10.5004,32.04824
3.701998,4.917691,1.843535,0.0,4.97994,0.5075708,0,0.0021317,0.0021317,0.3074977,1.500983,1.500983,0.1449556,10.357712,32.0459
4.019998,5.073314,0.07661446,0.8044518,5.159504,0.677559,0,0.1486861,0.1486861,-0.6468378,0.3412053,0.3412053,-0.611798,10.357712,32.05332
4.338,5.51624,0.3280056,7.661446,5.212178,0.1532289,0,-0.542784,-0.542784,-0.5235988,-0.5435836,-0.5435836,-0.5435836,10.275804,32.0459
4.798998,0.6224924,0.22984332,5.54497,0.6224924,0.23223752,0,-0.5265298,-0.5265298,-0.6816112,-0.5371884,-0.5371884,-0.6139296,9.977226,32.01621
5.114998,0.3064578,0.8810662,6.14831,0.0,0.629675,0,0.025580392,0.025580392,0.009859114,0.0170536,0.0170536,0.03530628,10.31808,32.03339
5.428998,0.3280056,0.2777274,5.51624,0.3136404,0.20350716,0,0.1404257,0.1404257,-0.2685942,0.1428239,0.1428239,-0.3225528,10.529464,32.03848
5.746,2.504335,4.371812,6.138734,3.701435,0.009576806,0,0.01811945,0.01811945,-0.2542052,0.02611333,0.02611333,-0.4599142,9.977226,32.0459
6.062,3.754108,2.767697,5.688624,4.218582,2.94008,0,-0.545582,-0.545582,0.01811945,-0.4322023,-0.4322023,-0.5112084,10.175396,32.04824
6.372,0.08379706,3.169923,6.210558,0.1292869,3.371036,0,0.0895314,0.0895314,0.010258808,0.10232158,0.10232158,0.07034606,10.20446,32.04824
6.687,0.08140286,0.002394202,6.157888,3.244143,0.3591303,0,0.0002664625,0.0002664625,0.0362389,0.10525266,0.10525266,0.03424043,10.357712,32.04336
7.003,3.677493,3.98874,5.372588,3.677493,3.909731,0,0.16200916,0.16200916,-0.4054226,0.17080244,0.17080244,-0.3873032,10.06178,32.04336
7.464999,0.04070142,0.4213795,6.440402,0.07182606,0.3830723,0,0.14349004,0.14349004,0.0341072,0.158412,0.158412,0.02131701,10.1067,32.0086
7.782998,0.07900866,0.1244985,4.922478,0.6919242,0.4836288,0,0.0042634,0.0042634,-0.2685942,0.2752558,0.2752558,-0.2542052,10.27316,32.03106
8.101,2.4827876,0.8044518,5.66947,2.451662,1.101333,0,0.18332616,0.18332616,-0.23875036,0.05275958,0.05275958,-0.2608668,10.24674,32.03106
8.417996,2.509123,1.2641384,9.825802,2.770091,0.3758897,0,0.0319755,0.0319755,0.004796325,0.1321654,0.1321654,0.00106585,10.148972,32.03594
8.733,3.68707,4.30717,6.914454,3.830723,0.04309562,0,0.5483798,0.5483798,-0.10232158,0.5635682,0.5635682,-0.1617427,10.019504,32.03848
9.051004,2.770091,3.083732,6.169858,3.68707,3.222596,0,0.3080306,0.3080306,0.2083737,0.1369617,0.1369617,0.011191424,10.022144,32.03339
9.366,3.792415,3.754108,9.80665,2.561796,3.758896,0,0.01985146,0.01985146,-0.06741498,0.03530628,0.03530628,-0.09299542,10.022144,32.04336
9.824,0.0,2.782062,4.912902,0.23463176,0.05985505,0,-0.0937948,-0.0937948,0.15135064,-0.0660827,-0.0660827,0.1364288,9.72621,32.0086
10.138,3.141193,3.423708,5.018246,3.078944,3.677493,0,0.273124,0.273124,-0.2039771,0.0730107,0.0730107,-0.19185308,9.72621,32.03106
10.454004,3.761291,3.016694,6.208164,3.466804,2.473211,0,0.20464316,0.20464316,0.00013323122,0.2600674,0.2600674,0.000532925,9.92174,32.03339
10.769,3.643975,3.529053,4.97994,0.01915361,3.495534,0,0.00439663,0.00439663,-0.3922328,0.012923432,0.012923432,-0.4048898,9.823976,32.03594
11.08,2.722207,2.633622,5.66947,3.217807,2.528277,0,0.18332616,0.18332616,-0.2595344,0.1385605,0.1385605,-0.4601807,9.65487,32.03848
11.396,3.718195,2.604891,6.13634,2.738966,2.75812,0,0.2739234,0.2739234,0.0170536,0.2065084,0.2065084,-0.3666523,9.72357,32.03848
11.707994,3.677493,2.681506,4.903324,2.992752,3.689465,0,0.05116079,0.05116079,-0.3874364,0.025580392,0.025580392,-0.4007596,9.950802,32.04082
12.026996,3.145981,2.604891,5.06613,3.131616,2.604891,0,0.015188364,0.015188364,-0.4092863,0.03517304,0.03517304,-0.4934885,9.892674,32.03339
12.492996,2.75812,2.456451,4.944026,2.48997,2.511518,0,0.0341072,0.0341072,-0.3749127,0.03956968,0.03956968,-0.4034242,10.13312,32.01113
12.808,2.571372,2.542642,5.214572,2.777274,2.461239,0,-0.10978256,-0.10978256,-0.4519203,-0.06381778,-0.06381778,0.0021317,9.892674,32.03594
13.122996,3.677493,2.516306,6.306326,3.696647,2.784457,0,0.5638348,0.5638348,-0.2707259,0.5473138,0.5473138,-0.23075652,9.85304,32.03594
13.441996,3.064578,0.9193734,5.501876,4.903324,0.7062896,0,1.103155,1.103155,0.1364288,0.989908,0.989908,0.0767412,9.810762,32.03594
13.762,7.972692,0.9193734,3.222596,15.25825,11.930308,0,0.1376279,0.1376279,0.0383706,0.2728576,0.2728576,0.8362926,9.837186,32.03594
14.077,0.3136404,4.115632,0.01197101,0.04788404,0.031124624,0,0.2729908,0.2729908,-0.2184992,0.3328116,0.3328116,-0.2279586,9.794908,32.03848
14.396,8.813054,4.070144,0.03830722,8.705316,4.024654,0,0.01758652,0.01758652,-0.3834395,0.012790196,0.012790196,-0.3810413,9.810762,32.03848
14.861996,8.89446,3.98874,0.3184288,8.896852,3.983952,0,0.01771975,0.01771975,-0.4071547,0.0170536,0.0170536,-0.4071547,9.639016,32.00624
15.178996,8.66222,3.907338,0.4788404,8.901644,3.912126,0,0.009192954,0.009192954,-0.4050229,0.007860642,0.007860642,-0.4040904,9.810762,32.02851
15.496,8.738836,3.993529,0.308852,8.89446,3.983952,0,0.0170536,0.0170536,-0.4007596,0.0170536,0.0170536,-0.4004931,9.752634,32.03594
15.810004,8.714894,3.888184,0.4596867,8.896852,4.065354,0,0.010658504,0.010658504,-0.3959632,0.0170536,0.0170536,-0.3974288,9.683934,32.03339
16.123992,8.887276,3.8403,0.497994,8.889674,3.983952,0,0.011058194,0.011058194,-0.4063552,0.01732006,0.01732006,-0.4082204,9.752634,32.04082
16.437,8.892064,3.983952,0.4596867,8.89446,4.007894,0,0.01945176,0.01945176,-0.4068882,0.018385908,0.018385908,-0.4087534,9.85304,32.03594
16.756,8.887276,3.993529,0.344765,8.889674,4.015076,0,0.0170536,0.0170536,-0.4091532,0.0170536,0.0170536,-0.4031578,9.72357,32.03848
17.217,8.887276,3.993529,0.4692635,8.69574,4.02226,0,0.007460948,0.007460948,-0.4063552,0.0170536,0.0170536,-0.3996936,9.950802,32.01113
17.538,8.772354,3.907338,0.4596867,8.753202,3.98874,0,0.007594182,0.007594182,-0.3986278,0.0191853,0.0191853,-0.4080873,9.823976,32.03106
