time,acc_x_1,acc_y_1,acc_z_1_1,acc_x_2,acc_y_2,acc_z_1_2,gyro_1_1,gyro_2_1,gyro_3_1,gyro_1_2,gyro_2_2,gyro_3_2,altitude,temperature
10.766,0.3495534,0.3280056,4.903324,0.4836288,0.1436521,0,0.0937948,0.0937948,0.20464316,0.13962632,0.13962632,0.2174334,10.289016,28.241408
11.085,1.1109096,0.0,3.44765,0.01915361,0.19632452,0,0.568098,0.568098,0.003197549,0.3543952,0.3543952,0.0021317,10.767268,28.24883
11.409,0.004788404,0.23702592,5.679048,0.06224925,0.01197101,0,-0.18332616,-0.18332616,-0.3149587,0.0362389,0.0362389,-0.4039572,10.83861,28.25137
11.726996,2.054225,0.6129156,4.905718,1.8483236,0.7445968,0,0.02131701,0.02131701,0.10365392,0.0,0.0,0.10258804,10.386776,28.226568
12.206,0.770933,2.511518,5.76045,0.7781156,2.628833,0,0.04369985,0.04369985,-0.4048898,0.0006661564,0.0006661564,-0.4263399,10.45812,28.17207
12.523004,1.917756,4.903324,5.8227,1.8866308,4.982332,0,0.07141196,0.07141196,0.024647776,0.07687442,0.07687442,0.0687473,10.289016,28.19199
12.84101,5.0781,5.51624,5.176264,4.903324,5.83467,0,0.0011990812,0.0011990812,0.09059728,0.1045865,0.1045865,0.0341072,10.233524,28.19199
13.161004,6.014236,5.068524,6.167464,5.90889,4.999092,0,0.1374946,0.1374946,0.0042634,0.2388837,0.2388837,0.0951271,10.360356,28.201752
13.476996,4.97994,5.209782,6.14831,5.046976,5.336676,0,0.1374946,0.1374946,-0.13149924,0.0042634,0.0042634,-0.2290245,10.344504,28.2166
13.799004,1.611298,4.903324,5.904102,1.541866,5.056554,0,0.013056664,0.013056664,-0.3749127,0.0042634,0.0042634,-0.397562,10.47133,28.2166
14.114996,1.268927,5.231332,4.924872,1.436521,5.391742,0,0.009059726,0.009059726,0.002664626,0.0234487,0.0234487,0.003197549,10.39999,28.206832
14.583,0.6607996,6.133944,0.18674776,1.2545616,8.12592,0,1.2962068,1.2962068,-0.4569831,0.5457152,0.5457152,-0.4756356,10.44491,28.17715
15.988,2.451662,5.05416,6.485892,1.321599,5.300762,0,0.006661562,0.006661562,-0.6309832,0.004796325,0.004796325,-0.698398,10.529464,28.20918
16.303008,1.54426,5.257666,4.903324,1.659182,4.927268,0,0.025580392,0.025580392,-0.3394732,0.03464012,0.03464012,-0.3192221,10.47133,28.2166
16.623004,1.235408,5.056554,5.209782,1.4077904,5.063736,0,0.0042634,0.0042634,-0.4424609,0.004529862,0.004529862,-0.4242083,10.58495,28.21426
16.941008,1.2282252,4.915296,4.97994,1.4891936,4.932056,0,0.06848086,0.06848086,-0.3878362,0.07061256,0.07061256,-0.3916998,10.529464,28.2166
17.258,0.6129156,5.058948,5.638344,1.3024456,5.8227,0,0.00959265,0.00959265,-0.4048898,0.0895314,0.0895314,-0.4092863,10.429056,28.22168
17.575,0.938527,4.922478,4.903324,0.9481038,5.06613,0,0.1385605,0.1385605,-0.3911668,0.1881225,0.1881225,-0.3996936,10.569096,28.21914
18.985992,0.6129156,5.872977,4.912902,0.5554548,6.052542,0,0.03530628,0.03530628,-0.4087534,0.0387703,0.0387703,-0.3867703,10.669504,28.167184
19.458,0.85473,4.908114,4.939238,0.09097968,4.912902,0,0.0341072,0.0341072,-0.4327351,0.04796326,0.04796326,-0.4428608,10.65365,28.15723
19.777,0.9241618,4.905718,5.056554,0.938527,1.723825,0,0.0683476,0.0683476,0.00106585,0.1484196,0.1484196,0.03424043,10.640436,28.189456
20.097,0.3064578,1.268927,5.21936,0.3064578,1.268927,0,0.0170536,0.0170536,-0.403824,0.05129402,0.05129402,-0.5020154,10.542672,28.206832
20.416992,0.3495534,0.344765,1.4508864,0.002394202,1.391031,0,-0.266196,-0.266196,-0.20464316,-0.4487229,-0.4487229,-0.2712589,10.40263,28.206832
20.733008,0.4596867,2.494758,6.138734,0.4596867,0.0,0,1.1171444,1.1171444,0.0,1.6415424,1.6415424,0.14682084,10.39999,28.21426
